attack,AlexNet,ResNet18,ResNet34,ResNet50,VGG19,DenseNet169,GoogleNet
Fog,35.89 ,17.30 ,18.54 ,32.17 ,38.74 ,18.14 ,36.44 
Snow,6.96 ,5.63 ,4.70 ,8.02 ,2.02 ,5.11 ,3.86 
Elastic,40.65 ,18.19 ,18.54 ,39.75 ,38.76 ,21.21 ,45.41 
JPEG,36.84 ,12.82 ,10.36 ,38.27 ,50.55 ,6.82 ,51.08 
